번호,시도명,대학교명,장학금유형구분명,장학금액
1,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교내-저소득장학금,28811500
2,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교외-국가,1057805217
3,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교외-사설 및 기타,33300000
4,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교외-지방자치단체,2216000
5,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교내-교직원장학금,2432000
6,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교내-근로장학금,77414000
7,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교내-기타장학금,10944000
8,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교내-성적우수장학금,57152000
9,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교내-저소득장학금,22504000
10,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교외-국가,689877334
11,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교외-사설 및 기타,49476000
12,울산광역시,한국폴리텍 VII 대학 울산캠퍼스,교외-지방자치단체,44500000
13,충청남도,남서울대학교,교내-교직원장학금,126957000
14,충청남도,남서울대학교,교내-근로장학금,219971264
15,충청남도,남서울대학교,교내-기타장학금,2898773750
16,충청남도,남서울대학교,교내-성적우수장학금,4410669150
17,충청남도,남서울대학교,교내-저소득장학금,5683587020
18,충청남도,남서울대학교,교외-국가,22989838618
19,충청남도,남서울대학교,교외-사설 및 기타,259866100
20,충청남도,남서울대학교,교외-지방자치단체,59306130
21,대전광역시,한밭대학교,교내-근로장학금,1388654152
22,대전광역시,한밭대학교,교내-기타장학금,817537760
23,대전광역시,한밭대학교,교내-성적우수장학금,2423346040
24,대전광역시,한밭대학교,교내-저소득장학금,1056964840
25,대전광역시,한밭대학교,교외-국가,17081783928
26,대전광역시,한밭대학교,교외-사설 및 기타,267120580
27,대전광역시,한밭대학교,교외-지방자치단체,81922120
28,경상북도,경운대학교,교내-교직원장학금,17845000
29,경상북도,경운대학교,교내-근로장학금,274978196
30,경상북도,경운대학교,교내-기타장학금,5254294469
31,경상북도,경운대학교,교내-성적우수장학금,641926000
32,경상북도,경운대학교,교내-저소득장학금,669983500
33,경상북도,경운대학교,교외-국가,12380277362
34,경상북도,경운대학교,교외-사설 및 기타,49920000
35,경상북도,경운대학교,교외-지방자치단체,138845720
36,경기도,한국공학대학교,교내-교직원장학금,30663000
37,경기도,한국공학대학교,교내-근로장학금,815379428
38,경기도,한국공학대학교,교내-기타장학금,3441700700
39,경기도,한국공학대학교,교내-성적우수장학금,3605099519
40,경기도,한국공학대학교,교내-저소득장학금,1825745000
41,경기도,한국공학대학교,교외-국가,14322056487
42,경기도,한국공학대학교,교외-사설 및 기타,382633680
43,충청남도,한국폴리텍 IV 대학 아산캠퍼스,교내-성적우수장학금,51072000
44,충청남도,한국폴리텍 IV 대학 아산캠퍼스,교내-저소득장학금,11400000
45,충청남도,한국폴리텍 IV 대학 아산캠퍼스,교외-국가,494286494
46,충청남도,한국폴리텍 IV 대학 아산캠퍼스,교외-사설 및 기타,27040000
47,충청남도,한국폴리텍 IV 대학 홍성캠퍼스,교내-근로장학금,15600000
48,충청남도,한국폴리텍 IV 대학 홍성캠퍼스,교내-성적우수장학금,24886000
49,충청남도,한국폴리텍 IV 대학 홍성캠퍼스,교외-국가,181776000
50,충청남도,한국폴리텍 IV 대학 홍성캠퍼스,교외-사설 및 기타,10630000
51,충청남도,한국폴리텍 IV 대학 홍성캠퍼스,교외-지방자치단체,24132000
52,전라북도,한국폴리텍 V 대학 전북캠퍼스,교내-교직원장학금,2321000
53,전라북도,한국폴리텍 V 대학 전북캠퍼스,교내-근로장학금,3900000
54,전라북도,한국폴리텍 V 대학 전북캠퍼스,교내-기타장학금,15086500
55,전라북도,한국폴리텍 V 대학 전북캠퍼스,교내-성적우수장학금,44099000
56,전라북도,한국폴리텍 V 대학 전북캠퍼스,교내-저소득장학금,35449500
57,전라북도,한국폴리텍 V 대학 전북캠퍼스,교외-국가,487255834
58,전라북도,한국폴리텍 V 대학 전북캠퍼스,교외-사설 및 기타,16302000
59,전라남도,한국폴리텍 V 대학 전남캠퍼스,교내-근로장학금,300000
60,전라남도,한국폴리텍 V 대학 전남캠퍼스,교내-기타장학금,4328000
61,전라남도,한국폴리텍 V 대학 전남캠퍼스,교내-성적우수장학금,20558000
62,전라남도,한국폴리텍 V 대학 전남캠퍼스,교내-저소득장학금,9632000
63,전라남도,한국폴리텍 V 대학 전남캠퍼스,교외-국가,203088000
64,전라남도,한국폴리텍 V 대학 전남캠퍼스,교외-사설 및 기타,11742000
65,전라남도,한국폴리텍 V 대학 전남캠퍼스,교외-지방자치단체,816600
66,전라북도,한국폴리텍 V 대학 익산캠퍼스,교내-교직원장학금,1216000
67,전라북도,한국폴리텍 V 대학 익산캠퍼스,교내-성적우수장학금,17024000
68,전라북도,한국폴리텍 V 대학 익산캠퍼스,교내-저소득장학금,7700000
69,전라북도,한국폴리텍 V 대학 익산캠퍼스,교외-국가,131772500
70,전라북도,한국폴리텍 V 대학 익산캠퍼스,교외-사설 및 기타,2600000
71,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교내-교직원장학금,2432000
72,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교내-근로장학금,20560000
73,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교내-기타장학금,33440000
74,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교내-성적우수장학금,46208000
75,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교내-저소득장학금,36000000
76,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교외-국가,623613334
77,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교외-사설 및 기타,14200000
78,경상북도,한국폴리텍 VI 대학 구미캠퍼스,교외-지방자치단체,4858560
79,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교내-교직원장학금,6080000
80,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교내-근로장학금,68498480
81,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교내-기타장학금,25063514
82,부산광역시,한국폴리텍 VII 대학 부산캠퍼스,교내-성적우수장학금,69312000
83,광주광역시,송원대학교,교외-국가,8930593871
84,광주광역시,송원대학교,교외-사설 및 기타,66600000
85,광주광역시,송원대학교,교외-지방자치단체,4500000
86,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교내-교직원장학금,1247000
87,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교내-근로장학금,33350000
88,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교내-기타장학금,7482000
89,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교내-성적우수장학금,53621000
90,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교내-저소득장학금,22893000
91,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교외-국가,513348320
92,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교외-사설 및 기타,11047000
93,서울특별시,한국폴리텍 I 대학 서울강서캠퍼스,교외-지방자치단체,1247000
94,경기도,한국폴리텍 I 대학 성남캠퍼스,교내-교직원장학금,4864000
95,경기도,한국폴리텍 I 대학 성남캠퍼스,교내-근로장학금,54350000
