센터 번호,센터명,우편번호,주소1,대표전화번호,홈페이지
1,서울특별시청소년상담복지센터,4543,서울특별시 중구,02-2285-1318,www.teen1318.or.kr
2,서울종로구청소년상담복지센터,3076,서울특별시 종로구,02-762-1318,www.jongno1318.or.kr
3,서울용산구청소년상담복지센터,4316,서울특별시 용산구,02-3273-5829,www.dodoit.or.kr
4,서울성동구청소년상담복지센터,4718,서울특별시 성동구,02-2299-1388,https://www.sdfac.or.kr/
5,서울광진구청소년상담복지센터,5072,서울특별시 광진구,02-2205-2300,www.light1318.or.kr
6,서울동대문구청소년상담복지센터,2586,서울특별시 동대문구,02-2236-1318,www.ddm1318.or.kr
7,서울중랑구청소년상담복지센터,2254,서울특별시 중랑구,02-490-0222,www.jn1318.or.kr
8,서울성북구청소년상담복지센터,2814,서울특별시 성북구,02-3292-1779,www.sb1318.or.kr
9,서울성북구석관청소년상담복지센터,2784,서울특별시 성북구,02-963-1318,
10,서울강북구청소년상담복지센터,1012,서울특별시 강북구,02-6715-6661,www.gb1318.or.kr
11,서울도봉구청소년상담복지센터,1412,서울특별시 도봉구,02-6956-4508,www.db1318.or.kr
12,서울노원구청소년상담복지센터,1616,서울특별시 노원구,02-2091-1388,www.nowonyouthcenter.org
13,서울은평구청소년상담복지센터,3476,서울특별시 은평구,02-384-1318,http://www.woori1318.or.kr/index_counseling.php
14,서울서대문구청소년상담복지센터,3676,서울특별시 서대문구,02-3141-1318,www.sdm7979.or.kr/
15,서울마포구청소년상담복지센터,4016,서울특별시 마포구,02-6376-9900,www.mapo1388.or.kr
16,서울양천구청소년상담복지센터,8067,서울특별시 양천구,02-2646-8341,http://yangcheon1388.or.kr/
17,서울강서구청소년상담복지센터,7718,서울특별시 강서구,02-2649-1318,www.gs1318.or.kr
18,서울구로구청소년상담복지센터,8365,서울특별시 구로구,02-863-1318,www.guro1318.or.kr
19,서울금천구청소년상담복지센터,8645,서울특별시 금천구,02-803-1873,www.gc1388.or.kr
20,서울영등포구청소년상담복지센터,7317,서울특별시 영등포구,02-844-0924,www.young1318.com
21,서울동작구청소년상담복지센터,7062,서울특별시 동작구,02-834-1355,http://djyc1388.or.kr/
22,서울관악구청소년상담복지센터,8790,서울특별시 관악구,02-871-7942,http://go1318.or.kr/
23,서울서초구청소년상담복지센터,6703,서울특별시 서초구,02-525-9128,http://seocho1318.com/
24,서울강남구청소년상담복지센터,6362,서울특별시 강남구,02-2226-8555,www.gnyc.or.kr
25,서울송파구청소년상담복지센터,5834,서울특별시 송파구,02-407-7179,www.sp1318.or.kr
26,서울강동구청소년상담복지센터,5211,서울특별시 강동구,02-6252-1388,http://www.wagle.or.kr/sub7/sub01.php
27,부산광역시청소년상담복지센터,47247,부산광역시 부산진구,051-804-5001,http://www.cando.or.kr/
28,부산중구청소년상담복지센터,48954,부산광역시 중구,051-245-1388,www.junggu1388.or.kr
29,부산서구청소년상담복지센터,49206,부산광역시 서구,051-714-0701,www.flyseogu1388.or.kr 
30,부산동구청소년상담복지센터,48723,부산광역시 동구,070-7733-8351,http://bsdg1388.kr/
31,부산영도구청소년상담복지센터,49113,부산광역시 영도구,051-405-5224,www.busanyouth.or.kr
32,부산진구청소년상담복지센터,47209,부산광역시 부산진구,051-868-0950,http://bsjin1388.or.kr
33,부산동래구청소년상담복지센터,47710,부산광역시 동래구,051-555-1388 ,www.1388youth.kr 
34,부산남구청소년상담복지센터,48494,부산광역시 남구,051-621-4831,www.namgu1388.kr
35,부산북구청소년상담복지센터,46579,부산광역시 북구,051-334-3000,http://www.bsbukgu.go.kr/youth 
36,부산해운대구청소년상담복지센터,48051,부산광역시 해운대구,051-715-1388,www.u-dream.or.kr
37,부산사하구청소년상담복지센터,49412,부산광역시 사하구,051-207-7179,http://saha1388.kr/sub02_01.php
38,부산금정구청소년상담복지센터,46267,부산광역시 금정구,051-581-2072,www.gjyouth1388.or.kr
39,부산연제구청소년상담복지센터,47525,부산광역시 연제구,051-506-1388,www.yeonje1388.or.kr
40,부산수영구청소년상담복지센터,48264,부산광역시 수영구 수영로521번길 77 (광안동),051-759-8411,www.meetyou.kr
41,부산사상구청소년상담복지센터,46927,부산광역시 사상구,051-327-0808,http://sasang1388.kr/
42,부산기장군청소년상담복지센터,46069,부산광역시 기장군,051-792-4932,http://gijangcmc.or.kr/1388/main/main.asp
43,대구광역시청소년상담복지센터,41934,대구광역시 중구,053-659-6272,https://1388.daeguyouth.net/html/main.html
44,대구중구청소년상담복지센터,41919,대구광역시 중구,053-423-1388,http://www.ymca1388.or.kr/ 
45,대구동구청소년상담복지센터,41155,대구광역시 동구,053-984-1318,http://www.dg1388.or.kr
46,대구서구청소년상담복지센터,41770,대구광역시 서구,053-216-8310,www.seoguc8310.or.kr 
47,대구남구청소년상담복지센터,42410,대구광역시 남구,053-624-1388,www.dng1388.or.kr
48,대구북구청소년상담복지센터,41439,대구광역시 북구,053-324-1388,www.teen1388.or.kr
49,대구수성구청소년상담복지센터,42027,대구광역시 수성구,053-666-4201,http://ss1388.suseong.kr
50,대구달서구청소년상담복지센터,42726,대구광역시 달서구,053-638-1388,www.dalbi1388.or.kr
51,대구달성군청소년상담복지센터,42985,대구광역시 달성군,053-614-1388,http://www.ds1388.or.kr/ds1388/
